Title,Authors,DOI,Abstract,Study_Type
"E-cigarette or vaping product use associated lung injury (EVALI) in the time of 
COVID-19: A clinical dilemma.","Helfgott D(1), Capozzoli G(1), Madray J(1), Baig A(2), Uppaluri L(2), Gaur S(3), 
Simon M(4), Amorosa J(4), Ramagopal M(2).",10.1002/ppul.25804,"AIM: To report on the clinical, laboratory, and radiological findings of  adolescents who presented during the SARS-CoV-2 surge with symptoms of  Coronavirus disease 2019 (COVID-19), did not test positive for the infection,  and were diagnosed with E-cigarette and vaping product use associated lung  injury (EVALI). METHODS: A retrospective review of 12 cases of EVALI admitted to the Bristol  Meyers Squibb Children's Hospital between February 2020 and June 2020 was  conducted. RESULTS: The ages of the patients ranged from 14 to 19 years. There were  six males and six females. Three patients had a past history of anxiety,  depression, or other psychiatric/mental health disorder, 9 had prolonged  coagulation profile (prothrombin time, partial thromboplastin time, and/or  International Normalized Ratio), and 11 had elevated inflammatory markers. Eight  needed respiratory support. All 12 were negative for SARS-CoV-2 PCR. Four were  tested for IgG antibodies and were negative. As these cases were admitted to  rule out COVID infection, initial treatment included hydroxychloroquine.  Steroids were started only after SARS-CoV-2 PCR was shown to be negative. Urine  tetrahydrocannabinol was positive in all cases. Chest X-ray and computed  tomography findings showed ground glass opacities. CONCLUSIONS: Clinical and radiological features are similar in both EVALI and  SARS-CoV-2 infection. Inflammatory markers are elevated in both conditions. A  detailed social and substance use history in patients presenting with ""typical""  COVID pneumonia like illness is important. EVALI should be ruled in early to  start the appropriate treatment. Given the ongoing pandemic, pediatricians and  other health-care providers need to be aware of other conditions that can  masquerade as SARS-CoV-2.",Retrospective observational study on
Diagnosis of EVALI: General Approach and the Role of Bronchoscopy.,"Aberegg SK(1), Maddock SD(1), Blagev DP(2), Callahan SJ(3).",10.1016/j.chest.2020.02.018,Abstract not found,"Data type unclear, results unknown"
"Lactate Dehydrogenase Levels in the Saliva of Cigarette and E-Cigarette Smokers 
(Vapers): A Comparative Analysis.","Pandarathodiyil AK(1), Ramanathan A(2)(3), Garg R(1), Doss JG(3)(4), Abd Rahman 
FB(1), Ghani WMN(3), Warnakulasuriya S(5)(6).",10.31557/APJCP.2021.22.10.3227,"BACKGROUND: We examined the lactate dehydrogenase (LDH) enzyme levels in the  saliva of vapers (e-cigarette users) and compared the data with cigarette  smokers and a control group of non-smokers and non-vapers. METHODS: Subjects were recruited among those responding to a social media  announcement or patients attending the SEGi Oral Health Care Centre between May  and December 2019, and among some staff at the centre. Five ml of unstimulated    whole saliva was collected and salivary LDH enzyme activity levels were measured  with a LDH colorimetric assay kit. Salivary LDH activity level was determined  for each group and compared statistically. RESULTS: Eighty-eight subjects were categorized into three groups (control n=30,  smokers n=29, and vapers n=29). The mean ± standard deviation (SD) values for  salivary LDH activity levels for vapers, smokers, and control groups were 35.15  ± 24.34 mU/ml, 30.82 ± 20.73 mU/ml, and 21.45 ± 15.30 mU/ml, respectively. The  salivary LDH activity levels of smoker and vaper groups were significantly  higher than in the control group (p = 0.031; 0.017). There was no significant  difference of salivary LDH activity level in vapers when compared with smokers  (p= 0.234). CONCLUSION: Our findings showed higher LDH levels in the saliva of vapers when  compared with controls, confirming cytotoxic and harmful effects of e-cigarettes  on the oral mucosa.",Case-control observational study on LD
E-cigarette Nicotine Delivery: Data and Learnings from Pharmacokinetic Studies.,"Fearon IM(1), Eldridge A(2), Gale N(2), Shepperd CJ(3), McEwan M(3), Camacho 
OM(4), Nides M(5), McAdam K(6), Proctor CJ(7).",10.5993/ajhb.41.1.2,"OBJECTIVES: E-cigarettes could potentially play a major role in tobacco harm  reduction by delivering nicotine in a vapor containing significantly fewer  toxicants than cigarette smoke and may aid smoking behavior changes such as  reduction or cessation. METHODS: We examined blood nicotine levels in smokers who were non-accustomed to  e-cigarette use (Study 1) and accustomed e-cigarette users (Study 2). We  compared nicotine levels when participants used a closed modular system  e-cigarette to those when participants smoked a cigarette. RESULTS: In Study 1, Cmax (geometric mean (CV)) during a 5-minute puffing period  (10 puffs, 30 seconds apart) was 13.4 (51.4) ng/ ml for a regular cigarette. The  e-cigarette Cmax was significantly lower (p .05) at 2.5 (67.8) ng/ml. In Study  2, during a 5-minute ad libitum puffing period, cigarette Cmax was 7.2 (130.8)  ng/mL, and it was 7.8 (108.2) ng/mL for the e-cigarette. CONCLUSIONS: Our data demonstrate heterogeneity of nicotine deliveries both  between products and also with the same products used by different cohorts, eg,  accustomed users versus smokers. Such differences must be taken into account  when determining the likely behavioral impact, on smoking reduction and  cessation, of nicotine delivery data and when planning e-cigarette nicotine  pharmacokinetic studies.",Nicotine delivery study with smokers
"Cardiovascular autonomic effects of electronic cigarette use: a systematic 
review.","Garcia PD(1), Gornbein JA(2)(3), Middlekauff HR(4).",10.1007/s10286-020-00683-4,"PURPOSE: Electronic cigarettes (ECs) are the fastest growing tobacco product in  the USA, and ECs, like tobacco cigarettes (TCs), have effects on the  cardiovascular autonomic nervous system, with clinical implications. The purpose  of this review was to collect and synthesize available studies that have  investigated the autonomic cardiovascular effects of EC use in humans. Special  attention is paid to the acute and chronic effects of ECs, the relative  contributions of the nicotine versus non-nicotine constituents in EC emissions  and the relative effects of ECs compared to TCs. METHODS: Using the methodology described in the Preferred Reporting Items for  Systematic Reviews and Meta-Analysis (PRISMA) statement, we conducted a  literature search of the Ovid PubMed and Embase databases on 6 December 2019  using keywords in titles and abstracts of published literature. Acute (minutes  to hours) and chronic (days or longer) changes in heart rate variability (HRV),  heart rate (HR) and blood pressure (BP) were used as estimates of cardiovascular  autonomic effects. RESULTS: Nineteen studies were included in this systematic review, all of which  used earlier generation EC devices. Acute EC vaping increased HR and BP less  than acute TC smoking. Nicotine but not non-nicotine constituents in EC aerosol  were responsible for the sympathoexcitatory effects. The results of chronic EC  vaping studies were consistent with a chronic sympathoexcitatory effect as  estimated by HRV, but this did not translate into chronic increases in HR or BP. CONCLUSIONS: Electronic cigarettes are sympathoexcitatory. Cardiac  sympathoexcitatory effects are less when vaping using the earlier generation ECs  than when smoking TCs. Additional studies of the latest pod-like EC devices,  which deliver nicotine similarly to a TC, are necessary.",Systematic review of autonomic
"Association of Electronic Cigarette Exposure on Cardiovascular Health: A 
Systematic Review and Meta-Analysis.","Siddiqi TJ(1), Rashid AM(2), Siddiqi AK(3), Anwer A(4), Usman MS(5), Sakhi H(6), 
Bhatnagar A(7), Hamburg NM(8), Hirsch GA(9), Rodriguez CJ(10), Blaha MJ(11), 
DeFilippis AP(12), Benjamin EJ(13), Hall ME(5).",10.1016/j.cpcardiol.2023.101748,"Despite the growing use of electronic cigarettes (EC) in the Unites States,  particularly among young people, and their perceived safety, current evidence  suggests that EC usage may cause adverse clinical cardiovascular effects.  Therefore, we aim to pool all studies evaluating the association of EC exposure  with cardiovascular health. Medline, Cochrane CENTRAL, and Scopus were searched  for studies from January 1, 2006 until December 31, 2022. Randomized and  observational studies reporting cardiovascular outcomes, hemodynamic parameters,  and biomarkers of platelet physiology, before and after acute or chronic EC  exposure were pooled using a random-effects model. Overall, 27 studies (n = 863)  were included. Heart rate increased significantly after acute EC exposure  (weighted mean difference [WMD]: 0.76 bpm; 95% confidence interval [CI], 0.48,  1.03; P < 0.00001; I2 = 92%). Significant increases in systolic blood pressure  (WMD: 0.28 mmHg; 95% CI, 0.06, 0.51; P = 0.01; I2 = 94%), diastolic blood  pressure (WMD: 0.38 mmHg; 95% CI, 0.16, 0.60; P = 0.0006; I2 = 90%), and PWV  (WMD: 0.38; 95% CI, 0.13, 0.63; P = 0.003; I2 = 100%) were also observed.  Augmentation index increased significantly (SMD: 0.39; 95% CI, 0.11, 0.67;  P = 0.007; I2 = 90%), whereas reduction in flow-mediated dilation (WMD: -1.48;  95% CI, -2.49, -0.47; P = 0.004; I2 = 45%) was observed. Moreover, significant  rise in both soluble P-selectin (WMD: 4.73; 95% CI, 0.80, 8.66; P = 0.02;  I2 = 98%) and CD40L (WMD: 1.14; 95% CI, 0.41, 1.87; P = 0.002; I2 = 79%) was  observed. Our results demonstrate that smoking EC is associated with a  significant increase in cardiovascular hemodynamic measures and biomarkers. Our  findings can aid policymakers in making informed decisions regarding the  regulation of EC to ensure public safety.",Meta-analysis of EC cardiovascular effects
The implications of vaping on surgical wound healing: A systematic review.,"Ashour O(1), Al-Huneidy L(2), Noordeen H(3).",10.1016/j.surg.2023.02.017,"BACKGROUND: E-cigarette use is rapidly growing, and little is known about the  postoperative complications. Cigarette smoking has been well-established to be  associated with delayed wound healing and increased complications in surgical  patients. Due to the intricate and harmonious nature of the wound-healing  process, vaping may impair tissue regeneration, posing a risk for patients  undergoing surgery. This systematic review aimed to review the evidence on the  implications of vaping on wound healing. METHODS: A systematic search of PubMed and Scopus databases was conducted on  October 2022 per Preferred Reporting Items for Systematic Reviews and  Meta-Analyses guidelines. The following keywords were used to conduct the  search: vaping, vape, e-cigarettes, electronic cigarettes, wound healing, tissue  regeneration, postoperative complications, wound infection, and blood flow. RESULTS: Of 5,265 screened articles, only 37 were eligible for qualitative  synthesis. A total of 18 articles studied the effect of e-cigarettes on human  volunteers, 14 investigated e-cigarette extract on human cell lines, and 5 used  animal rat models. CONCLUSION: Despite limited objective data, the recommendation is that  e-cigarettes be treated as tobacco cigarettes; hence, vaping should be stopped  in the perioperative period to decrease the incidence of wound healing  complications. Clinical trials are required to understand the health hazards of  e-cigarettes further and maximize patient safety and clinical outcomes.",Systematic review on vaping effects
"Electronic Cigarette Solvents, JUUL E-Liquids, and Biomarkers of Exposure: In 
Vivo Evidence for Acrolein and Glycidol in E-Cig-Derived Aerosols.","Lorkiewicz P(1)(2)(3)(4), Keith R(1)(2)(3)(5), Lynch J(2)(3), Jin L(1)(2), Theis 
W(1)(2), Krivokhizhina T(1)(2)(3), Riggs D(2)(3)(5), Bhatnagar A(1)(2)(3)(5), 
Srivastava S(1)(2)(3)(5), Conklin DJ(1)(2)(3)(5).",10.1021/acs.chemrestox.1c00328,"Despite the increasing popularity of e-cigarettes, their long-term health  effects remain unknown. In animal models, exposure to e-cigarette has been  reported to result in pulmonary and cardiovascular injury, and in humans, the  acute use of e-cigarettes increases heart rate and blood pressure and induces  endothelial dysfunction. In both animal models and humans, cardiovascular  dysfunction associated with e-cigarettes has been linked to reactive aldehydes  such as formaldehyde and acrolein generated in e-cigarette aerosols. These  aldehydes are known products of heating and degradation of vegetable glycerin  (VG) present in e-liquids. Here, we report that in mice, acute exposure to a  mixture of propylene glycol:vegetable glycerin (PG:VG) or to e-cigarette-derived  aerosols significantly increased the urinary excretion of acrolein and glycidol  metabolites─3-hydroxypropylmercapturic acid (3HPMA) and  2,3-dihydroxypropylmercapturic acid (23HPMA)─as measured by UPLC-MS/MS. In  humans, the use of e-cigarettes led to an increase in the urinary levels of  23HPMA but not 3HPMA. Acute exposure of mice to aerosols derived from PG:13C3-VG  significantly increased the 13C3 enrichment of both urinary metabolites  13C3-3HPMA and 13C3-23HPMA. Our stable isotope tracing experiments provide  further evidence that thermal decomposition of vegetable glycerin in the  e-cigarette solvent leads to generation of acrolein and glycidol. This suggests  that the adverse health effects of e-cigarettes may be attributable in part to  these reactive compounds formed through the process of aerosolizing nicotine.  Our findings also support the notion that 23HPMA, but not 3HPMA, may be a  relatively specific biomarker of e-cigarette use.",Human and animal metabolite study
"Association Between Electronic Cigarette Use and Levels of High-Sensitivity 
C-Reactive Protein and Uric Acid.","Moon J(1)(2), Lee H(2), Kong M(1)(2), Kim H(1)(2), Oh Y(1).",10.1177/1010539519899777,"The present study investigated whether electronic cigarette use, which is  becoming increasingly common, was related to systemic inflammation that may lead  to cardiovascular disease, similar to conventional cigarette smoking. The study  included 1208 men (19-65 years old) who participated in the 7th Korean National  Health and Nutrition Examination Survey (2016). The participants were  categorized as electronic cigarette users, conventional cigarette users, and  nonsmokers. Serum high-sensitivity C-reactive protein was used as an  inflammatory index, and uric acid level was used as a metabolic indicator. After  adjusting for confounding factors, electronic cigarette use was significantly  associated with elevated serum high-sensitivity C-reactive protein levels (β =  1.326, P = .002), uric acid levels (β = 0.400, P = .042), and hyperuricemia  (uric acid level of >7 mg/mL; odds ratio = 2.67, 95% confidence interval =  1.27-5.58). These findings suggest that electronic cigarette use may be  associated with systemic inflammation markers, similar to conventional cigarette  use.",Observational cross-sectional study on
Nicotine Vapor Method to Induce Nicotine Dependence in Rodents.,"Kallupi M(1), George O(1).",10.1002/cpns.34,"Nicotine, the main addictive component of tobacco, induces potentiation of brain  stimulation reward, increases locomotor activity, and induces conditioned place  preference. Nicotine cessation produces a withdrawal syndrome that can be  relieved by nicotine replacement therapy. In the last decade, the market for  electronic cigarettes has flourished, especially among adolescents. The nicotine  vaporizer or electronic nicotine delivery system is a battery-operated device  that allows the user to simulate the experience of tobacco smoking without  inhaling smoke. The device is designed to be an alternative to conventional  cigarettes that emits vaporized nicotine inhaled by the user. This report  describes a procedure to vaporize nicotine in the air to produce blood nicotine  levels in rodents that are clinically relevant to those that are observed in  humans and produce dependence. We also describe how to construct the apparatus  to deliver nicotine vapor in a stable, reliable, and consistent manner, as well  as how to analyze air for nicotine content. © 2017 by John Wiley & Sons, Inc.",Animal study on nicotine vaporization
"Are Urine Propylene Glycol or Vegetable Glycerin Markers of E-cigarette Use or 
Abstinence?","Hiler M(1), Breland A(1), Wolf CE(2), Poklis JL(3), Nanco CR(3), Eissenberg 
T(1).",10.18001/trs.6.4.2,"OBJECTIVES: Urine propylene glycol (PG) and vegetable glycerin (VG) were  evaluated as potential markers for discriminating ECIG users from non-users and  verifying ECIG abstinence. METHODS: Urine samples from 51 ECIG users (collected pre/post 12-hours ECIG  abstinence), and 50 controls (who do not use nicotine/tobacco) were analyzed for  urine cotinine, PG, and VG concentration. RESULTS: Of 42 ECIG users with pre-abstinence urine cotinine indicating nicotine  use, mean (SD) urine cotinine concentration was 1053.7 ng/ml (874.5) and for  controls was 1.93 ng/ml (0.4); after abstinence, ECIG users' mean cotinine  decreased to 615.4 ng/ml (753.0). For ECIG users, mean urine PG pre-abstinence  was 25.6 mcg/ml (20.0) and was 9.8 mcg/ml (13.5) for controls; after abstinence,  ECIG users' mean urine PG decreased to 9.7 mcg/ml (15.0; ps < .05). For ECIG  users, mean urine VG pre-abstinence was 7.5 mcg/ml (7.1) and was 13.2 mcg/ml  (25.0) for controls; after abstinence, ECIG users' mean VG decreased to 5.0  mcg/ml (4.4; ps < .05). CONCLUSIONS: ECIG users' mean urine PG was greater than controls and decreased  after 12-hours ECIG abstinence suggesting urine PG may be useful for  discriminating ECIG users from non-users and verifying short-term abstinence.",Cross-sectional observational study on EC
"Chronic exposure to e-cig aerosols during early development causes vascular 
dysfunction and offspring growth deficits.","Orzabal MR(1), Lunde-Young ER(1), Ramirez JI(1), Howe SYF(2), Naik VD(1), Lee 
J(1), Heaps CL(1), Threadgill DW(2), Ramadoss J(3).",10.1016/j.trsl.2019.01.001,"Increasing popularity of electronic cigarettes (e-cigs), including among women  of reproductive age, is attributed to its perceived safety compared to  conventional tobacco. However, there is a major knowledge gap surrounding the  effects of e-cig aerosols on pregnancy and fetal development. We aimed to  evaluate the effects of vaping e-cigs during gestation on offspring growth and  to asses if growth deficits are accompanied by altered maternal and fetal  vascular hemodynamics. Sprague-Dawley dams were assigned to Pair-Fed Control,  Pair-Fed Juice, or Juice+Nicotine groups, and then underwent either a prenatal  or prenatal+postnatal exposure paradigm in a custom-engineered vaping system.  Mass spectrometry identified major aerosolized constituents from e-cig vaping.  The Juice+Nicotine group exhibited significantly decreased fetal weight and  crown-rump length (↓46.56%, and ↓23.83%, respectively). Pre- and postnatal  exposure to Juice+Nicotine resulted in decreased pup weight at postnatal day  (PND) 4-10. Crown-rump length was decreased by 24.71% on PND 10. Blood flow in  the Juice+Nicotine group was decreased in the maternal uterine and fetal  umbilical circuits by 49.50% and 65.33%, respectively. We conclude that chronic  exposure to e-cig aerosols containing nicotine during early development can have  deleterious health effects on the exposed offspring. Vaping e-cigs containing  nicotine during pregnancy lead to a reduction in offspring weight and crown-rump  length, associated with a marked decrease in blood flow in both the maternal  uterine and fetal umbilical circulation (a strong indicator of growth  restriction). Thus, chronic exposure to e-cig aerosols containing nicotine can  lead to potentially harmful developmental effects in early life.",Experimental observational cohort study on e
Is there evidence for potential harm of electronic cigarette use in pregnancy?,"Suter MA(1), Mastrobattista J, Sachs M, Aagaard K.",10.1002/bdra.23333,"BACKGROUND: Use of electronic cigarettes (e-cigarettes) and other nicotine  containing products is increasing among women of reproductive age. The short-  and long-term effects of these products on both mother and fetus are unknown. METHODS: Because e-cigarettes are nicotine delivery systems, we sought to  conduct a comprehensive review of the effects of nicotine on the fetus. RESULTS: In utero nicotine exposure in animal models is associated with adverse  effects for the offspring lung, cardiovascular system and brain. In the lung,  this included reduced surface area, weight, and volume, as well as  emphysema-like lesions. In adulthood, exposed offspring demonstrate elevated  blood pressure and increased perivascular adipose tissue. In the brain, exposure  alters offspring serotonergic, dopaminergic, and norepinephrine networks, which  in turn are associated with behavioral and cognitive impairments. We also review  current data on the lack of efficacy of nicotine replacement therapy in pregnant  women, and highlight different nicotine containing products such as snuff, snus,  and hookah. CONCLUSION: We conclude that no amount of nicotine is known to be safe during  pregnancy, and studies specifically addressing this risk are crucial and an  imminent public health issue.",Review of nicotine effects on fetus
JUUL electronic cigarettes: Nicotine exposure and the user experience.,"Nardone N(1), Helen GS(2), Addo N(3), Meighan S(4), Benowitz NL(5).",10.1016/j.drugalcdep.2019.05.019,"BACKGROUND: As of March 2019, JUUL electronic cigarettes are the most popular  e-cigarette on the U.S. market, but little is known of nicotine exposure and  dependence on JUUL and user experience. METHODS: JUUL users participated in a community-based study involving  questionnaires, saliva collection and a qualitative interview. RESULTS: Fifteen participants were enrolled (80% male, 53% White) and had an  average age of 29.8 (standard deviation = 10) years. Daily exposure to nicotine  assessed via salivary cotinine was similar to those reported for other  e-cigarette and tobacco cigarette users in general. The majority reported low to  moderate nicotine dependence. Qualitative interview themes included: the  importance of social networks in adoption and use of the product; device  features such as small size and vapor cloud reinforced product use; the product  provided satisfaction compared to a tobacco cigarette; and a perceived sense of  addiction to the product. CONCLUSIONS: JUUL e-cigarettes expose users to levels of nicotine similar to  other e-cigarettes but may be more satisfying due to unique device features.  JUUL may be quite acceptable to tobacco cigarette smokers who are seeking to  quit. However, it holds addictive potential and can reinforce long-term nicotine  use.",Cross-sectional qualitative study on J
Nicotine absorption during electronic cigarette use among regular users.,"Yingst JM(1), Foulds J(1), Veldheer S(1), Hrabovsky S(1), Trushin N(1), 
Eissenberg TT(2), Williams J(3), Richie JP(1), Nichols TT(4), Wilson SJ(4), 
Hobkirk AL(1).",10.1371/journal.pone.0220300,"BACKGROUND: The capability of electronic cigarette devices (e-cigs) to deliver  nicotine is key to their potential to replace combustible cigarettes. We  compared nicotine delivery and subjective effects associated with the use of two  classes of e-cigarettes and cigarettes. METHODS: 14 e-cigarette users were instructed to vape their own e-cigarette  device every 20 seconds for 10 minutes while blood was drawn at 1, 2, 4, 6, 8,  10,12, and 15 minutes after initiating vaping. Users rated withdrawal symptoms  and side effects before and after vaping. E-cigarette devices were classified as  first-generation (same size as cigarette, no activation button) or advanced  (larger than cigarette with an activation button). Separately, 10 cigarette  smokers completed a similar protocol. Fisher's Exact Test and two-sided t-tests  were used as appropriate to determine differences in outcomes between  first-generation e-cigarette users, advanced e-cigarette users, and smokers. RESULTS: Compared to first-generation devices, advanced devices were associated  with greater serum nicotine Cmax (ng/ml) (11.5 v. 2.8, p = 0.0231) and greater  nicotine boost (ng/ml) (10.8 v. 1.8, p = 0.0177). Overall, e-cigarettes users  experienced a significant reduction in withdrawal and craving, although there  were no significant differences between users of first-generation and advanced  devices. Comparing e-cigarettes overall to cigarettes, cigarettes were  associated with greater Cmax (25.9 v. 9.0, p = 0.0043) and greater nicotine  boost (21.0 v. 8.2, p = 0.0128). CONCLUSIONS: Advanced e-cigarettes delivered significantly more nicotine than  first-generation devices but less than combustible cigarettes. Overall,  e-cigarette use was associated with a reduction in withdrawal and craving with  no reported side effects. The wide variation in nicotine absorption from  different e-cigarette devices should be considered in studies of e-cigarettes  for smoking cessation.",Comparative observational study on nicotine
"Metabolites of Tobacco- and E-Cigarette-Related Nitrosamines Can Drive 
Cu(2+)-Mediated DNA Oxidation.","Kankanamage RNT(1), Ghosh AB(1), Jiang D(1), Gkika K(2), Keyes T(2), Achola 
LA(1), Suib S(1)(3), Rusling JF(1)(3)(4)(5).",10.1021/acs.chemrestox.0c00027,"Nitrosamine metabolites resulting from cigarette smoking and E-cigarette (E-cig)  vaping cause DNA damage that can lead to genotoxicity. While DNA adducts of  metabolites of nitrosamines 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone (NNK)  and N-nitrosonornicotine (NNN) are well-known tobacco-related cancer biomarkers,  only a few studies implicate NNN and NNK in DNA oxidation in humans. NNK and NNN  were found in the urine of E-cigarette users who never smoked cigarettes. This  paper proposes the first chemical pathways of DNA oxidation driven by NNK and  NNN metabolites in redox reactions with Cu2+ and NADPH leading to reactive  oxygen species (ROS). A microfluidic array with thin films of DNA and metabolic  enzymes that make metabolites of NNN and NNK in the presence of Cu2+ and NADPH  was used to estimate relative rates of DNA oxidation. Detection by  electrochemiluminescence (ECL) employed a new ECL dye [Os(tpy-benz-COOH)2]2+  that is selective for and sensitive to the primary DNA oxidation product  8-oxo-7,8-dihydro-2-deoxyguanosine (8-oxodG) in DNA. Enzyme-DNA films on  magnetic beads were used to produce nitrosamine metabolites that enter  ROS-forming redox cycles with Cu2+ and NADPH, and liquid chromatography-mass  spectrometry (LC-MS) was used to quantify 8-oxodG and identify metabolites. ROS  were detected by optical sensors. Metabolites of NNK and NNN + Cu2+ + NADPH  generated relatively high rates of DNA oxidation. Lung is the exposure route in  smoking and vaping, human lung tissue contains Cu2+ and NADPH, and lung  microsomal enzymes gave the highest rates of DNA oxidation in this study. Also,  E-cigarette vapor contains 6-fold more copper than that in cigarette smoke,  which could exacerbate DNA oxidation.",In vitro laboratory experimental study.
"Effect of an electronic nicotine delivery system with 0, 8, or 36 mg/mL liquid 
nicotine versus a cigarette substitute on tobacco-related toxicant exposure: a 
four-arm, parallel-group, randomised, controlled trial.","Cobb CO(1), Foulds J(2), Yen MS(3), Veldheer S(4), Lopez AA(5), Yingst JM(2), 
Bullen C(6), Kang L(7), Eissenberg T(8); Randomised Control Trial Methods 
Workgroup of the Center for the Study of Tobacco Products.",10.1016/S2213-2600(21)00022-9,"BACKGROUND: Electronic nicotine delivery systems (ENDSs) are used by some  smokers to reduce cigarette consumption, but their effectiveness is uncertain.  We aimed to examine the extent to which ENDSs or a non-nicotine cigarette  substitute influence tobacco-related toxicant exposure and cigarette consumption  in smokers interested in smoking reduction. METHODS: We did a four-arm, parallel-group, randomised controlled trial at two  sites in the USA (Penn State University, Hershey, PA, and Virginia Commonwealth  University, Richmond, VA). We enrolled adults aged 21-65 years who smoked more  than nine cigarettes per day (for at least the past year), with exhaled CO of  more than 9 parts per million at screening, who were not currently using an  ENDS, and who were interested in reducing smoking but not quitting. Participants  were randomised (site-specific with allocation concealment; 1:1:1:1) to receive  either a cartomiser-based, pen-style ENDS (eGo-style) paired with 0, 8, or 36  mg/mL liquid nicotine (participants and researchers masked to concentration) or  a non-ENDS cigarette-shaped plastic tube that delivered no nicotine or aerosol  (cigarette substitute; unmasked) for 24 weeks. Conditions were chosen to reflect  a range of nicotine delivery including none (cigarette substitute and 0 mg/mL  ENDS), low (8 mg/mL), and cigarette-like (36 mg/mL), and all conditions were  paired with smoking reduction instructions. The primary outcome was  concentration of the tobacco-specific carcinogen metabolite  4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol (NNAL; urinary total) collected at  randomisation and at 4, 12, and 24 weeks. Multiple imputation with and without  covariate adjustment was used in addition to sensitivity analyses. This trial is  registered with ClinicalTrials.gov, NCT02342795. FINDINGS: Between July 22, 2015, and Nov 16, 2017, 684 individuals were screened  and 520 (76%) were enrolled and randomised. 188 (36%) of 520 participants were  lost to follow-up by week 24; attrition did not differ by study group (39 [30%]  of 130 in the cigarette substitute group, 56 [43%] of 130 in the ENDS with 0  mg/mL nicotine group, 49 [38%] of 130 in the ENDS 8 mg/mL group, and 44 [34%] of  130 in the ENDS 36 mg/mL group). Urinary total NNAL at 24 weeks in the ENDS with  36 mg/mL nicotine group was 210·80 pg/mg creatinine (95% CI 163·03-274·42)  compared with 346·09 pg/mg creatinine (265·00-455·32) in the cigarette  substitute group (p=0·0061). No other significant differences between groups  were observed for any time point for urinary total NNAL. Serious adverse event  frequency was similar across groups (12 events in 12 participants [9%] in the  ENDS with 36 mg/mL nicotine group, seven events in six participants [5%] in the  8 mg/mL group, 11 events in ten participants [8%] in the 0 mg/mL group, and 13  events in 13 participants [10%] in the cigarette substitute group), and all of  these were deemed unrelated or unlikely to be related to study product use.  There was one death between randomisation and 24 weeks (suicide; in the ENDS  with 0 mg/mL nicotine group). INTERPRETATION: Use of an ENDS with cigarette-like nicotine delivery can reduce  exposure to a major pulmonary carcinogen, NNAL, even with concurrent smoking.  Future ENDS trials should involve products with well characterised nicotine  delivery, including those with nicotine delivery approaching that of a  cigarette. FUNDING: National Institutes of Health, US Food and Drug Administration.",Randomized controlled trial with 
"Nicotine Intake in Adult Pod E-cigarette Users: Impact of User and Device 
Characteristics.","Giberson J(1), Nardone N(1), Addo N(1), Khan S(2), Jacob P(1)(3)(4), Benowitz 
N(1)(3)(4), St Helen G(1)(3)(4).",10.1093/ntr/ntad050,"INTRODUCTION: This study examined user behavior, e-cigarette dependence, and  device characteristics on nicotine intake among users of pod-mod e-cigarettes. AIMS AND METHODS: In 2019-2020, people who use pod-mods in the San Francisco Bay  Area completed questionnaires and provided a urine sample for analysis of total  nicotine equivalents (TNE). The relationship between TNE and e-cigarette use,  e-cigarette brands, e-liquid nicotine strength, e-cigarette dependence, and  urine 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol (NNAL), as a measure of  combustible cigarette exposure, were examined. RESULTS: Of 100 participants (64% male, 71% in the 18-34 age group, 45% white),  53 used JUUL primarily, 12 used Puff Bar primarily, and 35 used other brands,  including Suorin; 48 participants reported current cigarette smoking.  Participants most often reported use of e-liquid with 4.5%-6.0% nicotine (68%),  fruit (35%), tobacco (28%), and menthol or mint flavors (26%), used e-cigarettes  on 25.5 (SD = 6.3) days a month, 10.2 (SD = 14.2) times a day, and 40% used 1-2  pods/cartridges per week. In bivariate analysis, urinary TNE was higher with  greater frequency (days used) and intensity (number of pods used) of e-cigarette  use, e-cigarette dependence, and combustible cigarette use. In multivariable  analysis, days of e-cigarette use in the last 30 days, number of pods used per  week, and NNAL levels were significantly associated with TNE. There was no  significant impact of e-liquid nicotine strength on TNE. CONCLUSIONS: Nicotine intake among people who used pod-mod e-cigarettes  increased with e-cigarette consumption and e-cigarette dependence, but not with  e-liquid nicotine strength. Our findings may inform whether FDA adopts a  nicotine standard for e-cigarettes. IMPLICATIONS: The study examined how device and user characteristics influence  nicotine intake among pod-mod e-cigarette users. Nicotine intake increased with  frequency (days of e-cigarette use in past 30 days) intensity of use (number of  pods used per day) and e-cigarette dependence but not with the flavor or  nicotine concentration of the e-liquids. Regulation of nicotine concentration of  e-liquids is unlikely to influence nicotine exposure among adult experienced  pod-mod users.",Cross-sectional observational study on e
